Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
28-05-2020,UPL,EQ,387.8,394.2,398.9,388.2,391,391.1,393.03,9298423,3.65452E+14,131208,3392409,0.3648
29-05-2020,UPL,EQ,391.1,392.55,419.75,388.4,404.5,405.85,407.38,22301405,9.08519E+14,237898,7493814,0.336
01-06-2020,UPL,EQ,405.85,411,423,410.75,419,419.3,418.16,7782283,3.25425E+14,116918,1831640,0.2354
02-06-2020,UPL,EQ,419.3,420.1,428.95,414.7,424.7,424.7,424.01,6847561,2.90345E+14,110454,1788070,0.2611
03-06-2020,UPL,EQ,424.7,428.95,433.8,417,419,419.1,426.15,7203500,3.0698E+14,95285,3625237,0.5033
04-06-2020,UPL,EQ,419.1,419.9,432.95,418,423,422.05,425,5729522,2.43504E+14,82499,1240512,0.2165
05-06-2020,UPL,EQ,422.05,425.25,445.95,423.55,439.5,439.4,439.39,12315989,5.41152E+14,158469,2488501,0.2021
08-06-2020,UPL,EQ,439.4,449,449.7,433.5,436.9,436.8,441.44,4520992,1.99573E+14,94327,1403307,0.3104
09-06-2020,UPL,EQ,436.8,443.95,445,428.15,430,430.6,438.93,4048019,1.77681E+14,80498,1419531,0.3507
10-06-2020,UPL,EQ,430.6,432.1,435.55,421,426.5,425,427.84,4333713,1.85415E+14,56218,2056007,0.4744
11-06-2020,UPL,EQ,425,430.7,434.25,415.45,419.5,417.45,424.18,3873618,1.64312E+14,65479,1043368,0.2694
12-06-2020,UPL,EQ,417.45,402,415.2,400.05,410.95,411.65,408.1,4995018,2.03845E+14,86526,1674198,0.3352
15-06-2020,UPL,EQ,411.65,405.65,411,398.05,406.4,405,405.02,4693725,1.90108E+14,67103,1330622,0.2835
16-06-2020,UPL,EQ,405,416,429.4,410,414.9,414.25,421.26,10359468,4.36404E+14,143936,1886727,0.1821
17-06-2020,UPL,EQ,414.25,419.8,424,409,421.4,420.8,417.89,6088271,2.54423E+14,80257,1825704,0.2999
18-06-2020,UPL,EQ,420.8,422.85,431.9,422.4,427.5,427.9,427.89,5641321,2.41386E+14,92530,1179957,0.2092
19-06-2020,UPL,EQ,427.9,427.95,439.55,427.5,437,436.9,435.9,6059411,2.6413E+14,116109,2352854,0.3883
22-06-2020,UPL,EQ,436.9,436.95,448.4,432.1,448,446.2,443.03,4990109,2.21076E+14,87664,1813792,0.3635
23-06-2020,UPL,EQ,446.2,453,469.1,452.75,463.5,463.1,464.02,7873312,3.65334E+14,126949,1421969,0.2872
24-06-2020,UPL,EQ,463.1,466.85,470,441,446.4,444.95,456.16,3907935,1.78266E+14,66718,1042106,0.2667
25-06-2020,UPL,EQ,444.95,438.15,454.7,437.45,445,442.9,446.42,3982270,1.77775E+14,62440,928227,0.2331
26-06-2020,UPL,EQ,442.9,450,450.85,438.65,441.1,440.25,443.47,2128151,9.43761E+13,34613,561504,0.2638
29-06-2020,UPL,EQ,440.25,440,440.25,429.15,430.95,431.9,433.31,2317361,1.00413E+14,38724,685454,0.2958
30-06-2020,UPL,EQ,431.9,435,446.45,422,426.8,425.2,434.62,5184094,2.2531E+14,97258,1238855,0.239
01-07-2020,UPL,EQ,425.2,430.9,449,429,447.6,446.95,440.82,8180143,3.60599E+14,97500,1754813,0.2145
02-07-2020,UPL,EQ,446.95,451.35,453.75,440.35,442.5,442.45,444.06,3807815,1.69089E+14,58568,915307,0.2404
03-07-2020,UPL,EQ,442.45,445.2,452.95,442.4,444.75,444.2,447.41,3812085,1.70555E+14,54254,585319,0.1535
06-07-2020,UPL,EQ,444.2,447,460.4,446.3,456.2,456.6,455.03,4257602,1.93735E+14,59251,981280,0.2305
07-07-2020,UPL,EQ,456.6,457.9,457.9,448.1,451,450.95,451.98,3664426,1.65625E+14,66451,1342448,0.3663
08-07-2020,UPL,EQ,450.95,459.85,464,441.25,444.6,444,454.07,8686831,3.94443E+14,136182,2851981,0.3283
09-07-2020,UPL,EQ,444,447,447.9,437.15,444.5,442.55,440.91,5160583,2.27535E+14,77860,2218271,0.4298
10-07-2020,UPL,EQ,442.55,444,452,433.5,437,436.5,441.63,5806559,2.56433E+14,102005,1507960,0.2597
13-07-2020,UPL,EQ,436.5,440,444.95,435.5,440,439.2,439.16,2480373,1.08928E+14,44489,833748,0.3361
14-07-2020,UPL,EQ,439.2,439.95,444.5,429.1,438.5,437.5,437.91,4214243,1.84544E+14,81922,1293283,0.3069
15-07-2020,UPL,EQ,437.5,441.75,442.85,430.45,439,437.55,437.87,4334532,1.89796E+14,70987,1816331,0.419
16-07-2020,UPL,EQ,437.55,440.55,441.75,423.55,433,433.45,430.93,4189313,1.80532E+14,102125,1560839,0.3726
17-07-2020,UPL,EQ,433.45,435,442.35,433,437.4,436.45,436.83,3644145,1.59186E+14,69758,1950469,0.5352
20-07-2020,UPL,EQ,436.45,440,456,439.3,454.2,453.65,448.75,9435359,4.2341E+14,132084,3525322,0.3736
21-07-2020,UPL,EQ,453.65,457.3,462.8,450.35,457.8,458.4,457.23,6154188,2.81388E+14,83926,2427775,0.3945
22-07-2020,UPL,EQ,458.4,460,464.5,447.7,463.8,460.25,455.73,4431711,2.01964E+14,69932,2007091,0.4529
23-07-2020,UPL,EQ,460.25,461,478,459,462.8,462.75,469.88,9427289,4.42966E+14,130263,1847092,0.1959
24-07-2020,UPL,EQ,462.75,461,461,444.1,453.35,454.15,451.65,4059461,1.83345E+14,70349,1324196,0.3262
27-07-2020,UPL,EQ,454.15,455.8,457,440.25,446.3,445.8,446.27,2974332,1.32736E+14,41684,1000691,0.3364
28-07-2020,UPL,EQ,445.8,446.4,451.95,441.5,450.25,448.95,445.72,4626424,2.06211E+14,56293,2245723,0.4854
29-07-2020,UPL,EQ,448.95,449.5,464.1,449.05,461.1,461.75,457.77,7119905,3.25929E+14,93684,2927032,0.4111
30-07-2020,UPL,EQ,461.75,464.95,471.5,461.45,462.7,464.6,466.77,6219459,2.90304E+14,96496,2277920,0.3663
31-07-2020,UPL,EQ,464.6,467.85,486,460.25,477.8,478.15,475.5,11062532,5.2602E+14,144249,2758207,0.2493
03-08-2020,UPL,EQ,478.15,484,484.9,445.2,452.5,452.15,455.58,14444377,6.58059E+14,203227,4113341,0.2848
04-08-2020,UPL,EQ,452.15,455.85,464.35,454,461.5,461.7,458.93,6194319,2.84275E+14,98058,1955068,0.3156
05-08-2020,UPL,EQ,461.7,462,467.7,452.3,455,453.6,458.58,4736989,2.17231E+14,68573,1554541,0.3282
06-08-2020,UPL,EQ,453.6,452.5,466.5,451.6,465,463.9,459.85,4177616,1.92109E+14,87895,1301892,0.3116
07-08-2020,UPL,EQ,463.9,465.5,484.9,465.5,480.1,480.3,476.27,10013682,4.76926E+14,138144,2301783,0.2299
10-08-2020,UPL,EQ,480.3,483.85,496.5,478.45,493.75,494.3,491.17,7603928,3.73485E+14,100179,2204612,0.2899
11-08-2020,UPL,EQ,494.3,496.5,496.65,480,482.8,481.9,485.34,4360609,2.1164E+14,66850,1800712,0.4129
12-08-2020,UPL,EQ,481.9,481.25,489,471.05,487,487.15,483.25,4332818,2.09383E+14,97005,1432236,0.3306
13-08-2020,UPL,EQ,487.15,487.3,499.9,487.3,489.35,489.15,492.39,4549602,2.24016E+14,90858,1177038,0.2587
14-08-2020,UPL,EQ,489.15,494.6,496.9,480.85,486.25,485.65,489.67,2431513,1.19065E+14,63838,688059,0.283
17-08-2020,UPL,EQ,485.65,489.5,494.7,487.75,492.25,492.35,491.85,2230316,1.09697E+14,37689,690031,0.3094
18-08-2020,UPL,EQ,492.35,492.2,508.95,491.85,501.8,500.15,502.72,8890754,4.46959E+14,114743,1677021,0.1886
19-08-2020,UPL,EQ,500.15,499.9,507.15,492.5,500.5,499.4,500.02,5405986,2.70312E+14,71454,1660755,0.3072
20-08-2020,UPL,EQ,499.4,494.85,498.75,487.25,493.5,491.9,492.94,3081600,1.51904E+14,81253,1293726,0.4198
21-08-2020,UPL,EQ,491.9,496.5,504.05,491,494,493.4,498.42,3426545,1.70786E+14,75506,891890,0.2603
24-08-2020,UPL,EQ,493.4,496,504.75,496,498.4,497.4,501.25,4042121,2.0261E+14,77088,889974,0.2202
25-08-2020,UPL,EQ,497.4,499.05,500.55,490.2,492.5,492.1,493.5,3431282,1.69332E+14,55891,1186873,0.3459
26-08-2020,UPL,EQ,492.1,492.95,496.6,488.35,493.05,493.55,492.27,2839626,1.39787E+14,35219,979757,0.345
27-08-2020,UPL,EQ,493.55,493.05,500,492.5,496.75,496.75,497.11,2426413,1.20619E+14,35921,808443,0.3332
28-08-2020,UPL,EQ,496.75,500,521.1,498.3,521,519.25,513.49,9809948,5.03729E+14,148522,2307794,0.2353
31-08-2020,UPL,EQ,519.25,524,534.9,501,502.95,505.95,517.86,10825186,5.60592E+14,127947,2962295,0.2736
01-09-2020,UPL,EQ,505.95,505,510,491.25,508.35,505.05,500.82,3980644,1.99359E+14,56709,725544,0.1823
02-09-2020,UPL,EQ,505.05,505,506,492.7,501.15,500.85,498.27,4153159,2.06938E+14,58327,1457191,0.3509
03-09-2020,UPL,EQ,500.85,505.8,526.75,504.25,523,521.85,518.83,8589275,4.45634E+14,140329,1525635,0.1776
04-09-2020,UPL,EQ,521.85,514.75,517.85,504.55,509.65,508.45,510.99,3768854,1.92586E+14,63150,994139,0.2638
07-09-2020,UPL,EQ,508.45,509.5,510.45,490.8,495.2,494.45,495.05,5255103,2.60154E+14,95566,1595376,0.3036
08-09-2020,UPL,EQ,494.45,497.65,503.4,485,486.3,487,496.79,4844567,2.40672E+14,97101,1008418,0.2082
