Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
04-10-2019,HDFCBANK,EQ,1223.55,1236.65,1239.6,1185.3,1189.75,1189.7,1209.48,9201816,1.11294E+15,257533,4831347,0.525
07-10-2019,HDFCBANK,EQ,1189.7,1201.2,1219.85,1181.15,1184.55,1186.9,1201.38,11256610,1.35235E+15,216482,5007897,0.4449
09-10-2019,HDFCBANK,EQ,1186.9,1197.1,1229.9,1190,1228.2,1228.15,1211.14,8713635,1.05534E+15,241068,4674399,0.5364
10-10-2019,HDFCBANK,EQ,1228.15,1221.8,1225.95,1197.2,1203,1200.55,1204.54,5778429,6.96032E+14,173146,3089486,0.5347
11-10-2019,HDFCBANK,EQ,1200.55,1213.4,1224,1188.95,1198.15,1198.8,1206.12,8593159,1.03644E+15,195427,4487710,0.5222
14-10-2019,HDFCBANK,EQ,1198.8,1209,1219.9,1197.4,1204.4,1204.4,1211.27,6133901,7.42978E+14,159516,3049256,0.4971
15-10-2019,HDFCBANK,EQ,1204.4,1207,1225,1206.85,1223.7,1223.05,1217.66,4200187,5.11438E+14,121277,2048447,0.4877
16-10-2019,HDFCBANK,EQ,1223.05,1231.65,1235,1210.1,1221.5,1221.1,1222.27,5293408,6.47E+14,158557,2351286,0.4442
17-10-2019,HDFCBANK,EQ,1221.1,1227.5,1229.85,1213.1,1221.5,1220,1221.84,6121807,7.47984E+14,174349,3289207,0.5373
18-10-2019,HDFCBANK,EQ,1220,1225.45,1233.85,1220.35,1229,1229,1227.68,5616903,6.89578E+14,126554,3117700,0.5551
22-10-2019,HDFCBANK,EQ,1229,1257,1257,1232.6,1239.9,1239.3,1244.3,10003114,1.24469E+15,235749,5139082,0.5137
23-10-2019,HDFCBANK,EQ,1239.3,1246.85,1249.75,1233,1245,1241.6,1242.17,5095107,6.329E+14,165735,2808097,0.5511
24-10-2019,HDFCBANK,EQ,1241.6,1248,1254.15,1226.35,1235,1236.1,1241.78,6553747,8.13829E+14,169086,2964030,0.4523
25-10-2019,HDFCBANK,EQ,1236.1,1240,1246.85,1220,1227.9,1229,1234.93,6496771,8.02305E+14,168865,3674313,0.5656
27-10-2019,HDFCBANK,EQ,1229,1239.95,1241.9,1235,1238,1237.7,1238.06,875425,1.08382E+14,32899,478938,0.5471
29-10-2019,HDFCBANK,EQ,1237.7,1238,1257.35,1237.7,1242.55,1242.5,1246.85,7116284,8.87292E+14,163100,4595216,0.6457
30-10-2019,HDFCBANK,EQ,1242.5,1246.9,1262.7,1243,1249.8,1248.35,1253.11,6005683,7.52576E+14,153142,3382532,0.5632
31-10-2019,HDFCBANK,EQ,1248.35,1257.7,1263.9,1227.1,1230,1230.35,1247.19,6608853,8.24251E+14,149423,3851537,0.5828
01-11-2019,HDFCBANK,EQ,1230.35,1239,1243.75,1227.6,1243,1240.05,1235.87,5756130,7.11382E+14,144831,3699600,0.6427
04-11-2019,HDFCBANK,EQ,1240.05,1246.45,1250,1229.05,1237.95,1236.85,1239.18,4967588,6.15574E+14,160851,2736666,0.5509
05-11-2019,HDFCBANK,EQ,1236.85,1241,1244.8,1229.05,1240,1239.5,1236.72,6183905,7.64775E+14,116040,4013870,0.6491
06-11-2019,HDFCBANK,EQ,1239.5,1242.45,1259,1228.05,1256.5,1256.65,1243.91,6065168,7.54452E+14,106886,3530632,0.5821
07-11-2019,HDFCBANK,EQ,1256.65,1261,1269.7,1250,1262.05,1263.7,1260.3,8481517,1.06892E+15,158059,5309958,0.6261
08-11-2019,HDFCBANK,EQ,1263.7,1259,1267,1251.45,1254.85,1255.6,1258.28,6625748,8.33707E+14,123060,4276184,0.6454
11-11-2019,HDFCBANK,EQ,1255.6,1252.55,1268.5,1250.5,1265.3,1264.75,1260.58,7143305,9.0047E+14,87967,5175501,0.7245
13-11-2019,HDFCBANK,EQ,1264.75,1261.95,1270,1253.6,1258,1257.55,1260.9,4646748,5.85907E+14,123817,2809517,0.6046
14-11-2019,HDFCBANK,EQ,1257.55,1263.8,1277,1257.2,1275,1273.9,1267.09,5527609,7.004E+14,124827,2793186,0.5053
15-11-2019,HDFCBANK,EQ,1273.9,1283.85,1285,1271.1,1279.75,1277.9,1279.78,4639506,5.93753E+14,116607,2357045,0.508
18-11-2019,HDFCBANK,EQ,1277.9,1277,1279.45,1258.7,1262.65,1262.05,1264.6,4565146,5.7731E+14,143584,2914231,0.6384
19-11-2019,HDFCBANK,EQ,1262.05,1265.3,1275,1261.1,1274.75,1271.9,1269.59,5285289,6.71016E+14,130282,3543343,0.6704
20-11-2019,HDFCBANK,EQ,1271.9,1273,1282.95,1267,1275,1273.35,1274,5527129,7.04157E+14,109397,3707282,0.6707
21-11-2019,HDFCBANK,EQ,1273.35,1270.25,1287,1268.35,1281.95,1283.35,1279.3,6009763,7.68831E+14,128228,3782409,0.6294
22-11-2019,HDFCBANK,EQ,1283.35,1283.65,1283.65,1262,1266.5,1264.75,1269.56,3844005,4.88019E+14,101153,2523967,0.6566
25-11-2019,HDFCBANK,EQ,1264.75,1264.15,1279.5,1264.15,1272.9,1271.1,1272.73,3946778,5.02318E+14,112947,2229882,0.565
26-11-2019,HDFCBANK,EQ,1271.1,1278.45,1279.75,1266.95,1276,1275.05,1273.47,4358001,5.54976E+14,162619,2724001,0.6251
